# generated by launcher/tools/complexity_gate.py --update-baseline
# score	file:line	function
15	launcher/main/apps/sand/suite_sand_perf.c:749	wood_leaf_row_pass
15	launcher/main/apps/sand/suite_sand_reaction_encoding.c:824	test_oil_mostly_boils_off_into_gas_not_acid
15	launcher/main/apps/sand/suite_sand_reaction_encoding.c:1873	test_quenching_makes_steam_but_burning_out_makes_smoke
15	launcher/main/apps/sand/suite_sand_roots.c:47	grow_plant_until_rooted
15	launcher/main/apps/sand/suite_sand_scenes.c:1001	build_boiler_scene
15	launcher/main/apps/sand/suite_sand_scenes.c:232	build_four_liquid_scene
15	launcher/main/apps/sand/suite_sand_seeds.c:505	test_a_buried_seed_comes_up_through_the_soil
15	launcher/main/apps/sand/suite_sand_seeds.c:771	test_a_hardened_trunk_is_left_with_foliage
15	launcher/main/apps/sand/suite_sand_spawning.c:44	assert_every_change_is_marked
15	launcher/main/apps/sand/tools/shading_palette.c:1580	ega_points
15	launcher/main/gfx/gfx.c:835	clip_line
15	launcher/main/gfx/gfx.c:1236	draw_glyph_font
15	launcher/main/ui/ui.c:516	ui_end_for_bands
15	launcher/test/suites/suite_boot_anim.c:1360	test_the_wobbles_oscillation_slows_as_it_lands
14	launcher/main/apps/sand/sand_liquid.c:578	equalise_liquid_stripes
14	launcher/main/apps/sand/sand_reactions.c:291	crack_run
14	launcher/main/apps/sand/sand_reactions.c:1750	step_one_acid_rain_cell
14	launcher/main/apps/sand/suite_sand_crossflow.c:112	test_crossflow_seam_transfer_matches_serial_in_eight_directions
14	launcher/main/apps/sand/suite_sand_gunpowder.c:154	test_gunpowder_falls_and_piles_like_a_powder
14	launcher/main/apps/sand/suite_sand_liquid_depth.c:532	mirror_ray_walk_source
14	launcher/main/apps/sand/suite_sand_liquid_depth.c:1238	test_pouring_onto_a_settled_pool_in_landscape_redirties_a_bounded_column_band
14	launcher/main/apps/sand/suite_sand_palette256.c:124	test_metal_shine_cells_get_a_different_index_in_256_and_16
14	launcher/main/apps/sand/suite_sand_reaction_encoding.c:1507	test_lava_quenched_into_stone_mid_pass_arms_the_heat_holder_flag
14	launcher/main/apps/sand/suite_sand_reaction_encoding.c:1307	test_oil_flows_more_slowly_than_water
14	launcher/main/apps/sand/suite_sand_roots.c:1374	test_the_right_extended_materials_are_grained
14	launcher/main/apps/sand/suite_sand_scenes.c:313	build_lava_stress_scene
14	launcher/main/apps/sand/suite_sand_scenes.c:633	count_shock_preconditions
14	launcher/main/apps/sand/suite_sand_scenes.c:682	note_thermal_shock_cell
14	launcher/main/apps/sand/suite_sand_scenes.c:350	test_the_lava_stress_scene_reaches_every_reaction_it_claims
14	launcher/main/apps/sand/tools/colour_lever1_counters.c:139	changed_span_cells
14	launcher/main/boot/boot_anim.c:200	draw_grid_spoke
14	launcher/main/boot/post_ui.c:87	post_ui_draw
14	launcher/main/gfx/gfx.c:2170	run_present_normal
14	launcher/main/ui/ui.c:91	draw_command
14	launcher/test/suites/suite_gfx_indexed.c:252	run_incremental_matches_full_reexpansion
13	launcher/main/apps/cube/app_cube.c:166	shade_pixel
13	launcher/main/apps/sand/sand.c:1163	build_xflow
13	launcher/main/apps/sand/sand.c:380	sand_erase
13	launcher/main/apps/sand/sand_liquid.c:629	equalise_liquids
13	launcher/main/apps/sand/sand_reactions.c:963	crust_faces
13	launcher/main/apps/sand/sand_reactions.c:1130	emit_against_gravity
13	launcher/main/apps/sand/suite_sand_combustion.c:1475	test_a_settled_snowbank_crusts_to_ice
